alpha,beta,gamma,tau,scf_cc,scf_bc,scf_bs,scf_cs
4,0.2,8,0.2,0.720713164,1.335991184,1.65937287,0.873161629
13,0.2,8,0.2,0.858096863,1.300726425,1.75202365,1.004716965
22,0.2,8,0.2,0.858019643,1.300985025,1.751646941,1.005091875
31,0.2,8,0.2,0.857328942,1.300949162,1.748966896,1.005105729
40,0.2,8,0.2,0.857339149,1.301152469,1.751170918,1.005166257
4,0.5,8,0.2,0.964197831,2.578253993,2.271834088,1.085631262
4,0.3,8,0.2,0.886447413,3.389330333,3.953222876,1.201069794
4,0.4,8,0.2,0.946342627,2.661424928,2.744838136,1.236455246
4,0.7,8,0.2,1.025293322,4.163062922,1.896407967,1.250435278
4,0.6,8,0.2,1.03998751,4.125501988,2.22377159,1.522030761
13,0.3,8,0.2,0.959203962,3.543680539,4.723751115,1.576451678
40,0.3,8,0.2,0.957477113,3.543980214,4.720769075,1.577298869
22,0.3,8,0.2,0.958327681,3.544083088,4.721514161,1.577308673
31,0.3,8,0.2,0.957776674,3.54399447,4.721068912,1.577315858
4,0.6,20,0.2,1.417840032,2.432019822,2.360704394,1.599341985
13,0.7,8,0.2,0.745378325,1.95872678,2.76731237,1.665982305
22,0.7,8,0.2,0.739859742,1.944884148,2.773681212,1.671151984
13,0.5,8,0.2,0.905791623,2.242210527,3.254614014,1.671298251
31,0.7,8,0.2,0.738106128,1.941917133,2.774294283,1.672108485
40,0.7,8,0.2,0.737537841,1.941921575,2.773756157,1.672119865
22,0.5,8,0.2,0.903188239,2.237752456,3.257674219,1.673235695
40,0.5,8,0.2,0.901831899,2.237796381,3.256466202,1.673553905
31,0.5,8,0.2,0.902311908,2.237748348,3.257000586,1.673566975
4,0.7,20,0.2,1.345816757,2.061054368,2.39060576,1.697592663
13,0.6,8,0.2,0.819915142,2.056300752,3.015096148,1.736902339
22,0.6,8,0.2,0.815369619,2.044448896,3.022098155,1.741063005
31,0.6,8,0.2,0.814382615,2.044345439,3.021397565,1.741142923
40,0.6,8,0.2,0.813855985,2.04431716,3.020781657,1.741144511
13,0.4,8,0.2,0.960170463,2.504625845,3.616878164,1.755260001
40,0.4,8,0.2,0.957775811,2.505072726,3.616464964,1.756291906
22,0.4,8,0.2,0.958887238,2.504845599,3.617451764,1.756325342
31,0.4,8,0.2,0.958162435,2.504857372,3.616925096,1.756341651
4,0.3,20,0.2,1.437682694,3.335189177,3.174538931,1.873563026
4,0.2,20,0.2,1.330705016,3.033989562,4.013328876,2.075300757
4,0.2,8,0.4,1.647873251,1.600143603,2.603008783,2.111862893
4,0.6,8,0.4,1.692222659,2.417181818,2.711273277,2.256912494
4,0.6,32,0.2,1.744969099,2.028451873,2.957409363,2.264822103
4,0.7,8,0.4,1.641703183,2.617815329,2.528896811,2.295309703
4,0.5,8,0.4,1.696791326,2.17337582,2.941999545,2.445470569
4,0.3,32,0.2,1.931138768,4.150988442,3.243673917,2.495081222
4,0.7,32,0.2,2.908134755,27.98424678,2.366303698,2.551873623
4,0.4,8,0.4,1.697564655,1.882308414,3.056976063,2.57005682
4,0.3,8,0.4,1.717745531,1.718002018,2.991158843,2.591632044
13,0.2,8,0.4,1.760184296,1.34021686,3.115354846,2.653454865
31,0.2,8,0.4,1.75776571,1.339276533,3.115714271,2.654733048
22,0.2,8,0.4,1.758726528,1.339189108,3.117137643,2.654778926
40,0.2,8,0.4,1.757636252,1.338936943,3.11779475,2.654917664
4,0.2,32,0.2,1.595965509,3.176024369,4.316416623,2.964181999
4,0.2,8,0.6,2.234928048,1.047992116,1.967134783,2.9808538
13,0.2,20,0.2,1.492464544,3.212190206,5.3334031,3.018292448
22,0.2,20,0.2,1.464928999,3.222257049,5.404397846,3.083754276
31,0.2,20,0.2,1.46555157,3.223261197,5.410904269,3.085880756
40,0.2,20,0.2,1.46529763,3.222965105,5.407557693,3.086065605
13,0.3,8,0.4,1.801727186,1.388364893,3.814662319,3.444951719
22,0.3,8,0.4,1.799482683,1.38750433,3.816772665,3.446809776
31,0.3,8,0.4,1.798198858,1.387306141,3.816940799,3.446926249
40,0.3,8,0.4,1.797592522,1.386946134,3.816968338,3.447080292
13,0.3,20,0.2,1.279130942,2.915681625,5.658507001,3.575878729
13,0.4,8,0.4,1.661322568,1.409218794,4.184830844,3.653502884
22,0.4,8,0.4,1.65816126,1.40890806,4.186812654,3.655702539
40,0.4,8,0.4,1.655506037,1.40859983,4.18669271,3.655796109
31,0.4,8,0.4,1.656449217,1.408713834,4.186949849,3.655877383
4,0.2,8,0.8,2.655250025,0.883458205,1.577978259,3.670802349
13,0.6,8,0.4,1.251126418,1.411662057,4.316760418,3.680040646
22,0.3,20,0.2,1.224729715,2.926278345,5.761212584,3.68092546
22,0.6,8,0.4,1.245240001,1.408255947,4.317739374,3.683301224
31,0.6,8,0.4,1.242969451,1.408083512,4.317380597,3.683384415
40,0.6,8,0.4,1.241805078,1.407977272,4.316951496,3.683419575
31,0.3,20,0.2,1.225109931,2.927123724,5.765953208,3.684152114
40,0.3,20,0.2,1.224722728,2.927158668,5.766224605,3.684591911
4,0.5,20,0.4,2.77975632,3.216047144,3.486158669,3.761176133
4,0.6,8,0.6,2.32621435,2.061913382,3.280915674,3.773213205
31,0.5,8,0.4,1.449025957,1.435130293,4.397710006,3.78087911
13,0.5,8,0.4,1.455312701,1.436214915,4.394422121,3.783367402
4,0.3,8,0.6,2.471047949,1.255163186,2.80202819,3.785542359
40,0.5,8,0.4,1.447983883,1.434971759,4.395620725,3.792975277
13,0.2,8,0.6,2.345075068,0.720178053,2.429505989,3.799612448
31,0.2,8,0.6,2.341465077,0.719783272,2.430167779,3.801570828
22,0.2,8,0.6,2.342823125,0.71967082,2.431121285,3.801863567
40,0.2,8,0.6,2.340717853,0.719678342,2.431538868,3.801990167
4,0.4,8,0.6,2.45380521,1.464763162,3.200905847,3.804920398
22,0.5,8,0.4,1.451140727,1.435221884,4.396106104,3.805776517
13,0.7,8,0.4,1.059399855,1.42251149,4.131821625,3.824423971
22,0.7,8,0.4,1.050477943,1.412508892,4.130360567,3.832061554
40,0.7,8,0.4,1.04695285,1.412191902,4.12893003,3.83208174
31,0.7,8,0.4,1.048162574,1.412308543,4.129397621,3.832088101
13,0.7,20,0.2,1.038613599,2.575398551,5.232326586,3.833272289
4,0.5,8,0.6,2.382943311,1.742999469,3.330691875,3.848156684
4,0.7,8,0.6,2.254599814,2.363828163,3.179833613,3.848359789
13,0.4,20,0.2,1.139020578,2.513201918,5.698784522,4.000654595
4,0.5,20,0.2,2.088506269,12.6938783,3.367372965,4.046424793
4,0.2,8,1,2.925583794,0.86476954,1.327740509,4.077290937
22,0.4,20,0.2,1.055606454,2.494125861,5.839583884,4.145125775
31,0.4,20,0.2,1.055675807,2.49455318,5.845186026,4.149288443
40,0.4,20,0.2,1.05511626,2.494605582,5.845405568,4.149870872
22,0.7,20,0.2,0.810115431,2.030783161,5.641216538,4.173293829
31,0.7,20,0.2,0.804744087,2.010925501,5.656803418,4.184976259
4,0.4,20,0.4,2.636591607,3.1137747,3.996287457,4.185147027
13,0.6,20,0.2,1.009083144,2.254547488,5.652280263,4.188809804
40,0.7,20,0.2,0.800327204,1.995965659,5.665235255,4.191507011
13,0.5,20,0.2,1.052220508,2.226874662,5.658310358,4.234645575
13,0.2,32,0.2,1.595249491,3.004133823,6.142829302,4.384341025
22,0.6,20,0.2,0.877997762,2.073434785,5.849052983,4.386156218
22,0.5,20,0.2,0.952581158,2.191777628,5.817331305,4.39870656
31,0.6,20,0.2,0.871076048,2.047350417,5.869338323,4.400592712
40,0.6,20,0.2,0.869848884,2.045539072,5.870451868,4.401896345
31,0.5,20,0.2,0.9509618,2.186926553,5.82589835,4.405224402
40,0.5,20,0.2,0.950269523,2.186941461,5.826229877,4.405891812
4,0.2,20,0.4,2.532666046,2.549320979,4.997494915,4.517130402
4,0.3,20,0.4,2.393009781,2.800237478,4.965806969,4.636814103
13,0.2,8,0.8,2.746695066,0.594227395,1.944415225,4.75254366
22,0.2,8,0.8,2.742904726,0.594058897,1.945839739,4.754499747
40,0.2,8,0.8,2.741079176,0.594654526,1.945509558,4.754967894
31,0.2,8,0.8,2.741576586,0.594399895,1.944337262,4.755746467
22,0.2,32,0.2,1.465686933,3.039361578,6.539871582,4.777557485
4,0.7,8,1,3.300979733,1.735811505,3.916781758,4.779392445
31,0.2,32,0.2,1.460904148,3.040834822,6.552939048,4.784315403
40,0.2,32,0.2,1.461164471,3.039527659,6.548764471,4.787281376
4,0.5,32,0.4,3.543270565,3.638053426,4.488207824,4.848036573
4,0.3,8,0.8,3.118798134,0.914877128,2.454852947,4.861685379
4,0.4,20,0.2,1.83331735,10.52746162,4.450331159,4.865063533
4,0.4,8,0.8,3.183407467,1.14992089,3.106453373,4.91353745
4,0.7,32,0.4,3.166930469,1.632713674,4.856522647,5.060421441
13,0.3,8,0.6,2.535091491,0.72717733,3.738202898,5.09376655
22,0.3,8,0.6,2.531072067,0.725587357,3.740939497,5.096869533
40,0.3,8,0.6,2.527760238,0.725522295,3.741535042,5.097366394
31,0.3,8,0.6,2.528957135,0.725515241,3.741528716,5.097429905
4,0.5,8,0.8,3.092782866,1.408297722,3.414809339,5.155045622
4,0.6,8,0.8,2.958946392,1.703370943,3.564323264,5.209000563
13,0.3,32,0.2,1.345160252,2.616999047,6.974181566,5.276142838
13,0.7,32,0.2,1.616368497,3.365480644,6.549480574,5.328617625
13,0.2,8,1,2.997333943,0.645504846,1.589308436,5.329684251
31,0.2,8,1,2.991213195,0.646393782,1.589077185,5.332504662
40,0.2,8,1,2.98973961,0.64630038,1.589713051,5.332739866
22,0.2,8,1,2.993176509,0.645687378,1.589727425,5.333120438
4,0.3,8,1,3.630244933,0.761563503,2.144825326,5.407513698
13,0.4,8,0.6,2.370675003,0.784588276,4.524448694,5.521945754
31,0.4,8,0.6,2.361912822,0.782864013,4.528550979,5.525183772
40,0.4,8,0.6,2.360290485,0.782973564,4.528802047,5.525350744
22,0.4,8,0.6,2.364602091,0.78297757,4.528237702,5.525499965
4,0.7,8,0.8,2.795782441,2.025884932,3.613474317,5.768346868
13,0.5,8,0.6,2.052399518,0.850004999,4.919353931,5.864122495
40,0.5,8,0.6,2.039442046,0.848036823,4.923572593,5.868243852
31,0.5,8,0.6,2.041306511,0.848185732,4.923429149,5.868677145
22,0.5,8,0.6,2.044794242,0.848454864,4.922851543,5.868774898
13,0.4,32,0.2,1.317901105,2.035673363,6.946672805,5.875283328
22,0.3,32,0.2,1.088683046,2.623406004,7.621695629,5.927151617
31,0.3,32,0.2,1.08074918,2.623385323,7.630119466,5.938081059
40,0.3,32,0.2,1.080277629,2.623958012,7.635787104,5.943024755
13,0.6,8,0.6,1.704919117,0.920677044,5.129972633,5.964320484
22,0.6,8,0.6,1.696193348,0.9188244,5.133777409,5.968559837
31,0.6,8,0.6,1.692292186,0.918489394,5.133735778,5.968827124
40,0.6,8,0.6,1.690187402,0.918388234,5.133291132,5.96888045
4,0.4,8,1,3.834538096,0.874976607,2.819149533,6.058751201
13,0.6,32,0.2,1.472620325,2.398338876,7.412112222,6.174412523
13,0.7,8,0.6,1.376374796,0.97313276,5.062830727,6.193830992
31,0.7,8,0.6,1.361829858,0.969160422,5.066435959,6.199482032
22,0.7,8,0.6,1.365793184,0.969469301,5.069424784,6.199731782
40,0.7,8,0.6,1.359660671,0.968998708,5.066527825,6.200668054
13,0.5,32,0.2,1.363854229,1.947745116,7.408941737,6.311717596
4,0.5,20,0.6,3.845200126,2.791131624,4.478880577,6.319441517
4,0.5,32,0.2,3.040394475,24.72345123,4.124160148,6.479247118
4,0.5,8,1,3.764982852,1.147651704,3.328809015,6.50503778
4,0.6,8,1,3.563597987,1.434666132,3.642742476,6.638262454
13,0.3,8,0.8,3.134358691,0.314971509,3.362796729,6.638703843
40,0.3,8,0.8,3.123413242,0.314027022,3.367588562,6.643102927
22,0.3,8,0.8,3.128431363,0.313887741,3.36595669,6.643487045
31,0.3,8,0.8,3.125382224,0.313994594,3.366494872,6.643811133
4,0.3,32,0.4,2.946504838,3.574314469,6.300010885,6.655036003
13,0.2,20,0.4,2.721494391,2.284548849,6.964761256,6.673416716
22,0.4,32,0.2,0.96878158,1.960195098,7.756633904,6.753405196
31,0.4,32,0.2,0.958052053,1.956925549,7.768194468,6.768775799
40,0.4,32,0.2,0.957190048,1.956829161,7.775189388,6.77532053
22,0.4,8,1,3.85968233,1.249353458,3.263705214,6.783890431
22,0.2,20,0.4,2.650153404,2.250871201,7.097943427,6.825924759
31,0.2,20,0.4,2.650848319,2.251145374,7.102474896,6.830928763
40,0.2,20,0.4,2.650400363,2.250338983,7.102822448,6.831377578
22,0.7,32,0.2,0.890432953,1.775114711,8.319621229,6.896368645
31,0.7,32,0.2,0.890432953,1.775114711,8.319621229,6.896368645
40,0.7,32,0.2,0.890432953,1.775114711,8.319621229,6.896368645
4,0.2,32,0.4,2.777928683,3.357023416,7.394005759,6.948288773
4,0.4,20,0.6,3.615260222,2.547753336,5.113326465,6.960527779
4,0.2,20,0.6,3.832439317,1.885485692,5.17822898,6.961324719
31,0.7,8,1,2.086020962,0.314809704,6.005273756,7.110552699
40,0.7,8,1,2.081382813,0.31478276,6.006813223,7.111106551
13,0.7,8,1,2.114190003,0.317369031,5.999846695,7.142560641
13,0.4,8,0.8,3.023943139,0.328100688,4.499177848,7.164399723
31,0.4,8,0.8,3.010855255,0.32679712,4.504339157,7.168580766
40,0.4,8,0.8,3.008700241,0.326622626,4.504491401,7.16889382
22,0.4,8,0.8,3.014787355,0.326827174,4.503784802,7.169261887
22,0.7,8,1,2.094660901,0.315140359,6.004667357,7.173310305
40,0.5,8,1,3.775289607,1.490873705,4.018391852,7.184383958
40,0.2,20,0.6,4.78710964,2.346161475,4.661504284,7.223733007
4,0.3,20,0.6,3.506802031,2.203639863,5.534560949,7.35699506
22,0.5,32,0.2,0.951809533,1.777406264,8.400022703,7.360146067
4,0.7,20,0.4,3.813270198,18.07177445,6.682189739,7.378633137
31,0.5,32,0.2,0.932970893,1.743918622,8.42997071,7.389889159
40,0.5,32,0.2,0.931591287,1.742423585,8.438454794,7.397856266
22,0.6,32,0.2,0.934861808,1.718767954,8.736961788,7.453726879
31,0.6,32,0.2,0.917847148,1.691360851,8.765685181,7.481129232
40,0.6,32,0.2,0.912355225,1.670867197,8.784179517,7.497120687
13,0.3,8,1,3.584484517,0.180266407,2.959355637,7.569961832
31,0.3,8,1,3.57277921,0.180326855,2.962042647,7.576480752
40,0.3,8,1,3.570418326,0.18051509,2.96285965,7.577410674
22,0.3,8,1,3.577699875,0.179874468,2.961888658,7.578745457
4,0.4,32,0.2,2.726570461,19.38764499,5.22377638,7.792909692
13,0.5,8,0.8,2.668853714,0.396229887,5.164978467,7.811431204
31,0.5,8,0.8,2.652088607,0.394220051,5.170936011,7.81676869
22,0.5,8,0.8,2.657348368,0.394366716,5.169501955,7.817174897
40,0.5,8,0.8,2.649303673,0.394132599,5.171799996,7.817456773
13,0.6,8,0.8,2.212718854,0.49367878,5.53154653,8.062762846
22,0.6,8,0.8,2.199329318,0.491636653,5.535851905,8.068055136
31,0.6,8,0.8,2.193442094,0.491309564,5.537072027,8.068249153
40,0.6,8,0.8,2.190392122,0.491037094,5.538439475,8.068600785
4,0.5,32,0.6,5.004172037,3.306688357,5.959300771,8.161912477
13,0.3,20,0.4,2.036998528,2.263106217,8.540305733,8.369222423
4,0.6,20,0.8,4.920098034,2.478793276,4.858219107,8.39957705
4,0.7,20,0.8,4.763210323,2.526349647,4.88697211,8.399837563
22,0.3,20,0.4,1.901578525,2.21744472,8.747625989,8.620633482
31,0.3,20,0.4,1.901573714,2.217316627,8.754866075,8.628236823
40,0.3,20,0.4,1.900509062,2.217128968,8.755770608,8.629176347
40,0.7,8,0.8,1.719850082,0.607840959,5.597004796,8.715479445
31,0.7,8,0.8,1.722762497,0.608261164,5.600073836,8.835486865
13,0.7,8,0.8,1.742808879,0.611137658,5.600717943,8.916015388
13,0.4,8,1,3.570050835,0.011674994,4.167486763,8.91736041
31,0.4,8,1,3.552149807,0.010995083,4.172635674,8.917381217
40,0.4,8,1,3.549015322,0.01159067,4.172369052,8.917970325
22,0.7,8,0.8,1.728762783,0.608831102,5.600655555,8.918909966
4,0.5,20,0.8,4.857727315,2.336981632,5.001832767,8.93372231
4,0.2,20,0.8,5.042069705,1.22899831,4.857307029,9.246258022
4,0.4,32,0.6,4.683332757,3.205502759,6.731012398,9.605503997
13,0.4,20,0.4,1.588128999,1.784665919,9.03129437,9.620582649
4,0.4,20,0.8,4.653092121,2.013434495,5.409198679,9.64691797
13,0.5,8,1,3.213096209,0.061943119,5.099194147,9.860072752
31,0.5,8,1,3.190442344,0.060513964,5.107246395,9.868164613
22,0.5,8,1,3.197687693,0.060387549,5.106341241,9.872730877
4,0.3,20,0.8,4.706420649,1.669708063,5.613137155,9.919779904
22,0.4,20,0.4,1.40196799,1.716503025,9.286642447,9.954105965
31,0.4,20,0.4,1.400968378,1.716279533,9.295791262,9.964021116
40,0.4,20,0.4,1.399737454,1.716093623,9.296656291,9.965402347
40,0.2,20,0.8,5.921603117,2.964236885,4.298010676,10.00807199
13,0.2,32,0.4,2.766962065,3.173525157,10.32449447,10.06421293
13,0.6,8,1,2.689766053,0.171406307,5.657717004,10.16017348
40,0.6,8,1,2.658945066,0.168996643,5.666436557,10.16441606
31,0.6,8,1,2.663378138,0.169726591,5.665175495,10.16637619
22,0.6,8,1,2.67128045,0.169171506,5.663925462,10.16641471
4,0.6,20,0.4,3.264901197,15.91383703,8.440138285,10.31647573
13,0.2,20,0.6,4.061079398,1.16414887,7.43244219,10.38691329
13,0.5,20,0.4,1.383127694,1.529226902,9.662250672,10.44417359
22,0.2,20,0.6,3.943207463,1.096752688,7.604182388,10.63152104
